#	"City ID"	"City Name"	"Airport code"	"Country ID"	"Country name"#	"Region ID"	"Region name"	"Continent ID"	"Continent name"	"Hemisphere ID"
	143	Tirgu Mures	TGM	177	Romania	6	Eastern Europe	2	Europe	0
	144	Constanta	CND	177	Romania	6	Eastern Europe	2	Europe	0
	145	Sibiu	SBZ	177	Romania	6	Eastern Europe	2	Europe	0
	146	Bucharest	OTP	177	Romania	6	Eastern Europe	2	Europe	0
	147	Iasi	IAS	177	Romania	6	Eastern Europe	2	Europe	0
	148	Oradea	OMR	177	Romania	6	Eastern Europe	2	Europe	0
	149	Craiova	CRA	177	Romania	6	Eastern Europe	2	Europe	0
	150	Timisoara	TSR	177	Romania	6	Eastern Europe	2	Europe	0
	151	Amman	AMM	107	Jordan	20	Western Asia	1	Asia	0
	152	Aqaba	AQJ	107	Jordan	20	Western Asia	1	Asia	0
	153	Monrovia	ROB	120	Liberia	19	Western Africa	0	Africa	1
	154	Benghazi	BEN	121	Libya	10	Northern Africa	0	Africa	0
	155	Sirte	SRX	121	Libya	10	Northern Africa	0	Africa	0
	156	Sebha	SEB	121	Libya	10	Northern Africa	0	Africa	0
	157	Kufra	AKF	121	Libya	10	Northern Africa	0	Africa	0
	158	Karasburg	KAS	121	Libya	10	Northern Africa	0	Africa	0
	159	Misurata	MRA	121	Libya	10	Northern Africa	0	Africa	0
	160	Ubari	QUB	121	Libya	10	Northern Africa	0	Africa	0
	161	Ghat	GHT	121	Libya	10	Northern Africa	0	Africa	0
	162	Ghadames	LTD	121	Libya	10	Northern Africa	0	Africa	0
	163	Beida	LAQ	121	Libya	10	Northern Africa	0	Africa	0
	164	Tobruk	TOB	121	Libya	10	Northern Africa	0	Africa	0
	165	Tripoli	TIP	121	Libya	10	Northern Africa	0	Africa	0
	166	Pangkor	PKG	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	167	Bintulu	BTU	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	168	Bario	BBN	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	169	Tawau	TWU	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	170	Kudat	KUD	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	171	Tanjung Manis	TGC	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	172	Lahad Datu	LDU	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	173	Penang	PEN	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	174	Mukah	MKM	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	175	Malacca	MKZ	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	176	Sandakan	SDK	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	177	Kuching	KCH	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	178	Kota Bharu	KBR	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	179	Johor Bahru	JHB	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	180	Alor Setar	AOR	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	181	Ipoh	IPH	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	182	Kuala Lumpur	KUL	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	183	Langkawi	LGK	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	184	Mulu	MZV	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	185	Kuantan	KUA	148	Malaysia	15	South-Eastern Asia	1	Asia	1
